date,symbol,pnl,filled,veto
2025-03-03,ETHE,0.0,0,pdr
2025-03-03,ETH,0.0,0,pdr
2025-03-03,FETH,0.0,0,pdr
2025-03-04,CAPR,0.0,0,g1
2025-03-04,GENI,0.0,0,pdr
2025-03-04,UVXY,0.0,0,g1
2025-03-05,STLA,0.0,0,pdr
2025-03-05,XNET,0.0,0,catalyst
2025-03-05,MRNY,0.0,0,pdr
2025-03-06,FNGD,0.0,0,pdr
2025-03-06,NVDS,0.0,0,pdr
2025-03-06,TRMD,0.0,0,pdr
2025-03-07,ATYR,0.0,0,pdr
2025-03-07,KOLD,0.0,0,pdr
2025-03-07,HE,0.0,0,pdr
2025-03-10,BTCZ,0.0,0,pdr
2025-03-10,KAZR,0.0,0,catalyst
2025-03-10,SKBL,0.0,0,catalyst
2025-03-11,FVRR,0.0,0,pdr
2025-03-11,CONL,0.0,0,catalyst
2025-03-11,RERE,0.0,0,pdr
2025-03-12,SEI,0.0,0,pdr
2025-03-12,TSLY,0.0,0,pdr
2025-03-12,NVDX,0.0,0,catalyst
2025-03-13,GIII,0.0,0,pdr
2025-03-13,SHLS,0.0,0,pdr
2025-03-13,SRTA,0.0,0,pdr
2025-03-14,NCMI,0.0,0,pdr
2025-03-14,SOXL,0.0,0,pdr
2025-03-14,PD,0.0,0,pdr
2025-03-18,TSLZ,0.0,0,pdr
2025-03-18,DRD,0.0,0,pdr
2025-03-18,ABVX,0.0,0,pdr
2025-03-19,TSLR,0.0,0,pdr
2025-03-19,SPIR,0.0,0,pdr
2025-03-19,BTDR,0.0,0,
2025-03-21,SCHL,0.0,0,pdr
2025-03-21,SOXS,0.0,0,pdr
2025-03-24,ANAB,0.0,0,pdr
2025-03-24,ETH,0.0,0,pdr
2025-03-24,VSTM,0.0,0,pdr
2025-03-25,DJT,0.0,0,pdr
2025-03-26,PRM,0.0,0,pdr
2025-03-26,IMNM,0.0,0,g1
2025-03-26,PLTK,0.0,0,pdr
2025-03-27,HMR,20.376994133980055,1,
2025-03-27,LBRT,0.0,0,pdr
2025-03-27,QNTM,0.0,0,catalyst
2025-03-28,BIYA,0.0,0,catalyst
2025-03-28,HERE,0.0,0,g1
2025-03-28,GFI,0.0,0,pdr
2025-03-31,LABD,0.0,0,pdr
2025-03-31,PLTD,0.0,0,pdr
2025-03-31,EBS,0.0,0,pdr
2025-04-01,ETHT,0.0,0,pdr
2025-04-02,NVDQ,0.0,0,pdr
2025-04-02,WOOF,0.0,0,pdr
2025-04-03,SCO,0.0,0,pdr
2025-04-03,NVDD,0.0,0,pdr
2025-04-03,BTCZ,0.0,0,pdr
2025-04-04,EDZ,0.0,0,pdr
2025-04-04,ERY,0.0,0,pdr
2025-04-04,JDST,0.0,0,g1
2025-04-07,CRSH,0.0,0,pdr
2025-04-07,BITI,0.0,0,pdr
2025-04-07,BTCZ,0.0,0,pdr
2025-04-08,SG,0.0,0,g1
2025-04-08,HSAI,0.0,0,g1
2025-04-08,RBBN,0.0,0,g1
2025-04-09,VIVO,0.0,0,
2025-04-09,VVPR,0.0,0,
2025-04-09,YINN,0.0,0,catalyst
2025-04-10,NVD,-25.29597939999992,1,
2025-04-10,FIAT,0.0,0,g1
2025-04-10,SCO,0.0,0,g1
2025-04-11,MSTU,93.8820071285002,1,
2025-04-11,BTG,0.0,0,pdr
2025-04-11,TSMX,0.0,0,rs
2025-04-14,ETHE,0.0,0,pdr
2025-04-14,ETH,0.0,0,pdr
2025-04-14,CRSR,0.0,0,pdr
2025-04-15,ERIC,0.0,0,pdr
2025-04-15,IE,0.0,0,pdr
2025-04-16,HMY,0.0,0,pdr
2025-04-16,NVDD,0.0,0,pdr
2025-04-16,SBSW,0.0,0,pdr
2025-04-17,CAPR,0.0,0,pdr
2025-04-17,LBRT,0.0,0,pdr
2025-04-17,BABX,0.0,0,pdr
2025-04-21,ETHU,0.0,0,pdr
2025-04-21,KOLD,0.0,0,pdr
2025-04-21,EXK,0.0,0,pdr
2025-04-22,BHC,0.0,0,g1
2025-04-22,ROBN,0.0,0,rs
2025-04-22,MSTX,123.34034487340982,1,
2025-04-23,URTY,0.0,0,pdr
2025-04-23,RETL,0.0,0,pdr
2025-04-23,CWH,0.0,0,pdr
2025-04-24,MUU,0.0,0,pdr
2025-04-24,STM,0.0,0,pdr
2025-04-24,PTEN,0.0,0,pdr
2025-04-25,JDST,0.0,0,pdr
2025-04-25,GDXD,0.0,0,pdr
2025-04-28,PONY,0.0,0,catalyst
2025-04-28,ADMA,0.0,0,pdr
2025-04-28,TMC,0.0,0,catalyst
2025-04-29,SEI,0.0,0,pdr
2025-04-30,TSLQ,0.0,0,pdr
2025-04-30,FNGD,0.0,0,pdr
2025-04-30,SNN,0.0,0,pdr
2025-05-01,GDS,0.0,0,pdr
2025-05-01,JDST,0.0,0,pdr
2025-05-01,GDXD,0.0,0,pdr
2025-05-02,GDS,0.0,0,pdr
2025-05-02,ASTS,0.0,0,pdr
2025-05-02,ING,0.0,0,pdr
2025-05-05,GFI,0.0,0,pdr
2025-05-05,HMY,0.0,0,pdr
2025-05-05,SBIT,0.0,0,pdr
2025-05-06,CRMD,0.0,0,pdr
2025-05-06,UCO,0.0,0,pdr
2025-05-06,PLTD,0.0,0,pdr
2025-05-07,DNA,0.0,0,pdr
2025-05-07,PRGO,0.0,0,pdr
2025-05-07,SMCZ,0.0,0,
2025-05-08,CMRE,0.0,0,pdr
2025-05-08,GDRX,0.0,0,g1
2025-05-08,KVUE,0.0,0,pdr
2025-05-09,FETH,0.0,0,pdr
2025-05-09,ETHE,0.0,0,pdr
2025-05-09,ETH,0.0,0,pdr
2025-05-12,DEI,0.0,0,pdr
2025-05-12,LI,0.0,0,pdr
2025-05-12,U,0.0,0,pdr
2025-05-13,PBF,0.0,0,pdr
2025-05-13,PERI,0.0,0,pdr
2025-05-13,SOLT,0.0,0,g1
2025-05-14,GDXD,0.0,0,pdr
2025-05-14,NVDG,0.0,0,pdr
2025-05-14,VNET,0.0,0,pdr
2025-05-15,CONI,0.0,0,pdr
2025-05-15,BNGO,0.0,0,pdr
2025-05-16,JDST,0.0,0,pdr
2025-05-16,SMCL,0.0,0,catalyst
2025-05-16,AMDL,0.0,0,pdr
2025-05-19,CONI,0.0,0,
2025-05-19,KOLD,0.0,0,pdr
2025-05-19,TSDD,0.0,0,pdr
2025-05-20,SSL,0.0,0,pdr
2025-05-21,FINV,0.0,0,pdr
2025-05-21,XPEV,0.0,0,pdr
2025-05-22,ETHE,0.0,0,pdr
2025-05-22,GTX,0.0,0,pdr
2025-05-22,FETH,0.0,0,pdr
2025-05-23,NXE,0.0,0,pdr
2025-05-23,FIP,0.0,0,pdr
2025-05-23,SRTY,0.0,0,pdr
2025-05-27,STLA,0.0,0,pdr
2025-05-27,ETHT,0.0,0,pdr
2025-05-27,SATL,0.0,0,pdr
2025-05-28,ANAB,0.0,0,pdr
2025-05-28,EDBL,387.85727390901724,1,
2025-05-29,SMCL,0.0,0,pdr
2025-05-29,NCNO,0.0,0,pdr
2025-05-29,NVDX,0.0,0,pdr
2025-06-02,UNG,0.0,0,pdr
2025-06-02,PDYN,0.0,0,g1
2025-06-02,GUSH,0.0,0,pdr
2025-06-03,ALZN,0.0,0,catalyst
2025-06-03,LI,0.0,0,pdr
2025-06-03,UUUU,0.0,0,pdr
2025-06-04,ICL,0.0,0,pdr
2025-06-04,STM,0.0,0,pdr
2025-06-04,YEXT,0.0,0,pdr
2025-06-05,SBSW,0.0,0,pdr
2025-06-05,SXTP,0.0,0,catalyst
2025-06-05,VZLA,0.0,0,pdr
2025-06-06,QXO,0.0,0,pdr
2025-06-06,SMCL,0.0,0,rs
2025-06-06,SPCE,0.0,0,pdr
2025-06-09,AMPY,0.0,0,pdr
2025-06-09,EVTL,0.0,0,g1
2025-06-09,CALY,0.0,0,pdr
2025-06-10,QTRX,0.0,0,g1
2025-06-10,HERE,0.0,0,pdr
2025-06-10,ETHE,0.0,0,pdr
2025-06-11,RGTIW,0.0,0,catalyst
